"Card","LiveBasal","DeadBasal","TotalBasal","LiveBasal_PLI","DeadBasal_PLI","TotalBasal_PLI","LiveBasal_FDI","DeadBasal_FDI","TotalBasal_FDI","LiveBasal_Spruce","DeadBasal_Spruce","TotalBasal_Spruce","LiveBasal_NonCon","DeadBasal_NonCon","TotalBasal_NonCon"
1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511,0,0.204282062299676,0.204282062299676,0,0.204282062299676,0.204282062299676,0,0,0,0,0,0,0,0,0
1514,0,3.01718558450764,3.01718558450764,0,3.01718558450764,3.01718558450764,0,0,0,0,0,0,0,0,0
1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522,1.69716689128555,0,1.69716689128555,1.69716689128555,0,1.69716689128555,0,0,0,0,0,0,0,0,0
1526,1.87262484098854,0,1.87262484098854,1.87262484098854,0,1.87262484098854,0,0,0,0,0,0,0,0,0
1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529,0,2.89160041818038,2.89160041818038,0,2.89160041818038,2.89160041818038,0,0,0,0,0,0,0,0,0
1531,0.196349540849362,0,0.196349540849362,0,0,0,0,0,0,0,0,0,0.196349540849362,0,0.196349540849362
1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
