Card,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
1630,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1640,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1643,1,900,1,1,0,1,0,1,1,1,1,33.33330154,1,1,33.33330154,1,1
1644,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1645,4,3600,1,2,1,1.75,0.433012702,7,2,2,3,75,1,1,25,2,2
1657,4,3600,1,2,1,1.25,0.433012702,5,2,1,3,75,2,1,25,1,2
1658,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
1662,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
1430,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
1438,4,3600,1,2,1,1.5,0.5,6,2,1,2,50,1,2,50,1,2
1440,4,3600,1,2,1,1.75,0.433012702,7,2,2,3,75,1,1,25,2,2
1450,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
1460,6,5400,1,2,1,1.666666667,0.471404521,10,2,2,4,66.66670227,1,2,33.33330154,2,2
1461,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
1467,5,4500,1,1,0,1,0,5,1,1,5,83.33329773,1,5,83.33329773,1,1
1476,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1479,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1481,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1485,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1498,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1505,2,1800,2,3,1,2.5,0.5,5,2,2,1,50,2,1,50,2,3
1510,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1518,4,3600,2,3,1,2.25,0.433012702,9,2,2,3,75,3,1,25,2,3
1522,4,3600,2,2,0,2,0,8,1,2,4,100,2,4,100,2,2
1527,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1529,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1542,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1544,3,2700,3,4,1,3.666666667,0.471404521,11,2,4,2,66.66670227,3,1,33.33330154,4,4
1552,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
1562,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
1564,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1653,4,3600,1,2,1,1.75,0.433012702,7,2,2,3,75,1,1,25,2,2
13,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
20,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
1511,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
1153,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
1192,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
1484,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1500,4,3600,1,2,1,1.25,0.433012702,5,2,1,3,75,2,1,25,1,2
1501,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
1502,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1503,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1504,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1514,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1531,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1589,3,2700,1,3,2,1.666666667,0.942809042,5,2,1,2,66.66670227,3,1,33.33330154,1,3
1590,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1602,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1612,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
1615,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1625,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1627,4,3600,1,2,1,1.25,0.433012702,5,2,1,3,75,2,1,25,1,2
1631,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1634,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1635,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
1637,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1640,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1647,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1648,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1649,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
1651,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
1662,4,3600,1,2,1,1.25,0.433012702,5,2,1,3,75,2,1,25,1,2
1663,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
1665,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1666,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
1672,2,1800,2,3,1,2.5,0.5,5,2,2,1,50,2,1,50,2,3
1674,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1675,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1678,3,2700,3,4,1,3.666666667,0.471404521,11,2,4,2,66.66670227,3,1,33.33330154,4,4
1679,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
1685,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1686,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1701,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
1702,2,1800,2,3,1,2.5,0.5,5,2,2,1,50,2,1,50,2,3
1705,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1706,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
