,,Contract,Plot ID,Zone,Easting,Northing,Coordinate source,FDI_count_bin,PLI_count_bin,Sx_count_bin,Distance to FDI (m),Distance to PLI (m),Distance to Sx (m),Distance to tree,notes,notes 2,
0,,NA,1562,10,426967.7328,5791749.257,Field lat/long,1,1,0,,,,66.2,,,
0,,NA,1564,10,433971.4988,5791452.49,Field lat/long,0,1,0,max,61.47,,61.47,,,
0,,NA,1567,10,471001,5789895,Field UTM,0,1,0,,,,6.9,,,
0,,NA,1569,10,473184,5789913,Field UTM,0,1,0,,,,476,,,
0,,NA,1571,10,475001,5789731,Field UTM,0,1,0,,,,442.7,,,
L,,NA,1573,10,481131,5789573,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1577,10,473355,5790705,Field UTM,0,1,0,,,,12.3,,,
0,,NA,1578,10,474139,5790807,Field UTM,0,1,0,,,,640,,,
0,21,NA,1579,10,475049,5790722,Field UTM,0,1,0,,,,75.8,,,
L,,NA,1580,10,479792,5790908,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1581,10,471087,5791891,Field UTM,0,1,0,,,,130.4,,,
0,,NA,1583,10,473115,5792004,Field UTM,0,1,0,,,,2.5,"10.4 to larger tree, hard to tell heights of tree, plot in patch of smaller trees with a few larger trees near by",,
0,,NA,1584,10,475086,5791726,Field UTM,0,1,0,,,,32.6,,,
L,,NA,1587,10,480092,5791506,Field UTM,0,1,0,,,,,,Live tree on plot,
L,,NA,1589,10,465934,5793145,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1590,10,466978,5793314,Field UTM,0,1,1,,,,26.9,,,
0,,NA,1591,10,469418,5793385,Field UTM,0,1,0,,,,69.9,,,
L,,NA,1592,10,471161,5792907,Field UTM,0,1,0,,,,,,Live tree on plot,
L,,NA,1594,10,477130,5792635,Field UTM,0,1,0,,,,,,Live tree on plot,
L,,NA,1596,10,479620,5792444,Field UTM,1,1,0,,,,,,Live tree on plot,
L,,NA,1598,10,481135,5792469,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1601,10,484136,5792334,Field UTM,0,1,0,,,,12.6,,,
0,,NA,1602,10,467165,5794054,Field UTM,0,1,0,,,,78.2,,,
0,,NA,1604,10,469167,5793971,Field UTM,0,1,0,,,,59.2,,,
L,,NA,1605,10,477178,5793638,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1606,10,478166,5793581,Field UTM,0,1,0,,,,54.2,,,
L,,NA,1607,10,479174,5793545,Field UTM,0,1,0,,,,,,Live tree on plot,
L,,NA,1608,10,480866,5794033,Field UTM,0,1,0,,,,,,Live tree on plot,
L,,NA,1609,10,480791,5793613,Field UTM,0,1,0,,,,,,Live tree on plot,
0,-2.7,NA,1612,10,463210,5795212,Field UTM,0,1,0,,,,160.2,,,
0,,NA,1615,10,467126,5794626,Field UTM,0,1,0,,,,84.9,,,
0,,NA,1617,10,470331,5794531,Field UTM,0,1,1,,,,16.6,,,
0,,NA,1619,10,479035,5794807,Field UTM,0,1,0,,,,136.8,,,
0,,NA,1620,10,480227,5794510,Field UTM,0,1,0,,,,328.7,,,
U,,NA,1623,10,483141,5794397,Field UTM,0,0,0,,,,,unburned/not measured,,
0,,NA,1624,10,486260,5794295,Field UTM,0,1,0,,,,115.1,,,
0,,NA,1625,10,463108,5796288,Field UTM,0,1,0,,,,118.2,,,
0,,NA,1627,10,468243,5795822,Field UTM,0,1,1,,,,7.6,,,
L,,NA,1628,10,470255,5795922,Field UTM,0,1,0,,,,,,Live tree on plot,
0,1.1,NA,1630,10,478257,5795579,Field UTM,0,1,0,,,,4.9,,,
0,,NA,1631,10,480184,5795481,Field UTM,0,1,0,,,,11.6,in road,,
0,,NA,1634,10,485262,5795281,Field UTM,0,1,0,,,,47.2,,,
0,,NA,1635,10,486268,5795236,Field UTM,0,1,0,,,,35.7,,,
0,,NA,1637,10,465712,5797744,Field UTM,0,1,0,,,,271.5,,,
0,,NA,1640,10,468292,5797000,Field UTM,0,0,0,,,,136.6,,,
0,,NA,1643,10,475840,5796894,Field UTM,0,1,0,,,,2.9,seems to be in a patch of trees,,
0,,NA,1644,10,476102,5796565,Field UTM,0,1,0,,,,2.9,seems to be in a patch of trees,,
0,,NA,1645,10,476494,5795613,Field UTM,0,1,0,,,,4.9,coordinates put it in middle of road,,
0,,NA,1647,10,480846,5795967,Field UTM,0,1,0,,,,142.4,,,
0,40.8,NA,1648,10,482305,5796407,Field UTM,0,1,0,,,,267,,,
0,,NA,1649,10,485146,5796000,Field UTM,0,1,0,,,,20.1,,,
0,,NA,1651,10,487310,5796192,Field UTM,0,1,0,,,,10.7,,,
0,,NA,1653,10,408285.311,5800517.917,Field lat/long,0,1,0,,110,,110,,,
0,,NA,1657,10,468544,5798078,Field UTM,0,1,1,,,,74.7,,,
L,,NA,1658,10,469285,5797954,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1662,10,475289,5797529,Field UTM,0,1,0,,,,11.6,,,
L,,NA,1663,10,476543,5797632,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1665,10,481255,5797917,Field UTM,0,1,0,,,,38.5,,,
0,,NA,1666,10,482355,5797411,Field UTM,0,1,1,,,,93.3,,,
0,3.4,NA,1672,10,463682,5798682,Field UTM,0,1,0,,,,11.8,maybe in plantation? Also there could be a nearer live tree,,
0,,NA,1674,10,466675,5798955,Field UTM,0,1,0,,,,40.1,in a young plantation (lots of mortality),,
0,,NA,1675,10,467191,5798932,Field UTM,0,1,0,,,,10.1,in a young plantation (lots of mortality),,
0,,NA,1678,10,475596,5798611,Field UTM,0,1,0,,,,230.9,,,
0,,NA,1679,10,481387,5798433,Field UTM,0,0,1,,,,7.9,,,
