Map Page Number,SampleSite_ID,Latitude,Longitude
26,1926,52.39732226,-123.2103443
26,1931,52.39553252,-123.1367926
26,2024,52.4159467,-123.2386184
26,2025,52.41559606,-123.2239009
26,2026,52.41524356,-123.2091838
26,2027,52.41308942,-123.1208858
27,1690,52.32909457,-122.994082
27,1734,52.34852304,-123.0516034
27,1800,52.36644337,-123.0503783
27,1835,52.37688305,-123.1085759
27,1836,52.37651594,-123.0938729
27,1878,52.38510712,-123.078563
27,1932,52.39294868,-123.0338306
27,1978,52.40115334,-123.0037924
28,1550,52.2709042,-124.6870772
29,1476,52.20872947,-124.0878154
29,1479,52.21793652,-124.1020754
29,1481,52.21745195,-124.0727635
29,1482,52.21695996,-124.0434523
29,1484,52.21646054,-124.0141417
29,1485,52.21620805,-123.9994867
29,1498,52.22592544,-124.043047
29,1500,52.22542592,-124.0137304
29,1501,52.22517338,-123.9990723
29,1510,52.23562635,-124.0866269
29,1511,52.23538304,-124.071965
29,1514,52.23413864,-123.9986578
29,1527,52.24459184,-124.0862305
29,1529,52.24410327,-124.0569007
29,1531,52.24335648,-124.0129073
29,1542,52.25331386,-124.0711658
29,1544,52.25282148,-124.0418303
29,1552,52.26128678,-124.0120835
29,1562,52.27124443,-124.070366
30,1502,52.22491898,-123.9844144
30,1503,52.22466272,-123.9697567
30,1504,52.22440461,-123.9550992
30,1505,52.22388282,-123.9257846
30,1518,52.2331097,-123.9400152
30,1522,52.23205105,-123.8813753
30,1564,52.26948787,-123.9676521
31,1535,52.23277207,-123.4704585
31,1554,52.25037667,-123.4547472
31,1589,52.28718733,-123.4966619
31,1590,52.28686933,-123.4819863
31,1591,52.28622774,-123.4526358
31,1602,52.29583206,-123.4814639
31,1604,52.29519035,-123.4521074
31,1612,52.3060561,-123.5396693
31,1615,52.30479473,-123.4809414
31,1625,52.31501896,-123.5391587
31,1627,52.31343727,-123.4657342
31,1637,52.32335453,-123.5092714
31,1639,52.32271987,-123.4798957
31,1640,52.32239975,-123.4652081
32,1526,52.22152108,-123.3684096
32,1538,52.2318025,-123.4264884
32,1539,52.23081622,-123.3825202
32,1540,52.23014943,-123.3532092
32,1557,52.24907225,-123.3960974
32,1558,52.24874151,-123.3814355
32,1559,52.2484089,-123.3667738
