SampleSite_ID,Latitude,Longitude,MapPageID,Aspect,Elevation,Slope,TWI,Zone,Subzone,Variant,Solar_Radiation,PARENT_SOILS,SOILNAME_1,TEXTURE_1,PERCENT_1,DRAIN_1,COFRAG_1,SOILNAME_2,TEXTURE_2,PERCENT_2,DRAIN_2,COFRAG_2,SOILNAME_3,TEXTURE_3,PERCENT_3,DRAIN_3,COFRAG_3,Fire_Year_1,Fire_Number_1,Fire_Date_1,Fire_Severity_1,Severity_Patch_Size_1,Species_1,Age_1,Height_1,Crown_Closure_1,Disturbance_Type_1,Disturbance_Date_1,Harvest_Date_1,Fire_Year_2,Fire_Number_2,Fire_Date_2,Fire_Severity_2,Severity_Patch_Size_2,Species_2,Age_2,Height_2,Crown_Closure_2,Disturbance_Type_2,Disturbance_Date_2,Harvest_Date_2,Distance_to_Perimeter
894,51.95048594,-123.7055483,61,299.744873,1107,4.031128883,7.123147011,SBPS,xc,,1015236.26,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,119,13.2,60,IBM,1985-01-01,,,,,,,,,,,,,,3794.451385
895,51.95019431,-123.6909847,62,347.0053711,1063,10.00624847,6.907130718,IDF,dk,4,958273.454,TILL ,SHEMWELL,SL,60,W,28,HAWKS,SIL,40,R,25,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,79,10.1,60,,,,,,,,,,,,,,,,4045.219294
896,51.94990084,-123.6764212,62,51.5569458,1008,30.96166992,5.084443569,IDF,dk,4,865532.6514,GLACIOFLUVIAL ,SHEMWELL,SL,60,W,28,HAWKS,SIL,40,R,25,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,118,11.1,30,,,,,,,,,,,,,,,,3112.551772
897,51.94960552,-123.661858,62,281.9761353,935,8.433564186,9.603849411,IDF,dk,4,988915.4635,GLACIOFLUVIAL ,SHEMWELL,SL,60,W,28,HAWKS,SIL,40,R,25,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,131,21.6,20,IBM,1985-01-01,,,,,,,,,,,,,,2238.784924
898,51.94930835,-123.6472949,62,274.7636414,994,6.020797253,6.721973896,IDF,dk,4,1002308.714,GLACIOFLUVIAL ,WHISKEY CREEK,SL,100,W,23,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,FD,219,26.8,50,,,,,,,,,,,,,,,,1528.508205
899,51.94900934,-123.632732,62,341.5650635,1095,0.790569425,8.752195358,SBPS,xc,,1022196.485,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,79,12.3,30,IBM,1985-01-01,,,,,,,,,,,,,,1207.840108
900,51.94297776,-123.356077,64,33.69006729,1017,1.802775621,12.05500031,IDF,dk,4,1005676.776,GLACIOFLUVIAL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2017,C50647,2017-07-07,Low,10.81100488,PLI,31,5.9,8,,,1985-01-01,,,,,,,,,,,,,78.08620832
901,51.94162313,-123.2978439,64,291.0375061,1001,3.482097149,7.269558907,IDF,dk,4,1004769.913,GLACIOLACUSTRINE ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2017,C50647,2017-07-07,High,10.45390571,FDI,169,16.8,46,IBM,2003-08-01,,,,,,,,,,,,,,109.9049201
902,51.94127986,-123.2832862,64,335.9244995,1016,12.86953735,5.962330341,IDF,dk,4,939402.4415,GLACIOLACUSTRINE ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2017,C50647,2017-07-07,Medium,2717.866731,SX,132,16,39,IBM,2003-08-01,,,,,,,,,,,,,,576.6363128
903,51.9405878,-123.2541714,65,22.1663456,1062,7.28869009,8.833455086,IDF,dk,4,979187.396,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2017,C50647,2017-07-07,Medium,2717.866731,FDI,111,17.2,35,IBM,2003-08-01,,,,,,,,,,,,,,237.7305589
904,51.93918155,-123.1959447,65,47.60256195,831,7.786205769,7.157987118,IDF,xm,,957717.6268,GLACIOLACUSTRINE ,ZENZAKO,SIL,100,MW,5,,-,,,,,-,,,,2017,C50647,2017-07-07,Low,4150.473278,FD,149,17.9,40,,,,,,,,,,,,,,,,139.9726086
905,51.93701689,-123.1086118,66,205.0168915,705,4.138236523,7.096923351,IDF,xm,,992952.4988,GLACIOLACUSTRINE ,HARGREAVES,SL,100,W,9,,-,,,,,-,,,,2017,C50647,2017-07-07,Medium,341.3407092,FD,155,17.8,40,,,,,,,,,,,,,,,,38.13939459
906,51.93553691,-123.0503948,66,108.4349518,893,0.790569425,12.5808363,IDF,xm,,999012.693,GLACIOLACUSTRINE ,CHASM,LS,100,MW,,,-,,,,,-,,,,2017,C50647,2017-07-07,High,1.901823438,FD,138,19.3,50,,,,,,,,,,,,,,,,222.809763
907,51.93516231,-123.0358411,66,218.6598053,915,3.201562166,14.61968327,IDF,xm,,1014535.595,GLACIOLACUSTRINE ,CHILCOTIN,SL,100,W,19,,-,,,,,-,,,,2017,C50647,2017-07-07,Medium,1709.967331,FD,118,17.7,40,IBM,1985-01-01,,,,,,,,,,,,,,163.879875
908,51.93478587,-123.0212878,66,303.6900635,946,7.211102486,7.640183926,IDF,xm,,977723.2665,GLACIOLACUSTRINE ,CHASM,LS,100,MW,,,-,,,,,-,,,,2017,C50647,2017-07-07,Medium,1709.967331,FD,157,27.5,10,U,1985-01-01,,,,,,,,,,,,,,275.4309916
909,51.97940381,-125.1770975,57,158.328125,1549,61.60458755,4.396457195,MS,dc,2,1252676.425,COLLUVIUM,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,12.76928761,PL,129,12.8,30,,,,,,,,,,,,,,,,14.23725874
910,51.97929861,-125.1625175,57,178.0519104,1417,36.77125168,6.298771381,MS,dc,2,1220632.482,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Low,4.032521361,PL,119,10.9,17,IBM,2007-07-01,,,,,,,,,,,,,,249.115165
911,51.97908267,-125.1333576,57,196.1134186,1172,11.71003819,7.666184902,IDF,dw,,1077967.681,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,1251.634795,PL,99,9.3,6,IBM,2003-07-01,,,,,,,,,,,,,,273.6420368
912,51.97897193,-125.1187777,57,181.2188721,1042,35.25797653,6.900411606,IDF,dw,,1153687.921,TILL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,1251.634795,FD,149,19,20,,,,,,,,,,,,,,,,123.8620876
913,51.97874491,-125.0896183,57,196.5873413,999,24.52039909,7.802594662,IDF,dw,,1115567.945,GLACIOFLUVIAL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,188.7073928,PL,89,11,27,IBM,2007-07-01,,,,,,,,,,,,,,379.2727262
914,51.97862862,-125.0750386,58,145.3048401,975,19.76423454,6.226466656,IDF,dw,,1083401.173,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Low,1.122289676,PL,89,9.8,20,IBM,2007-07-01,,,,,,,,,,,,,,458.6281898
915,51.97851049,-125.0604591,58,170.3624573,965,13.4396801,10.13848972,IDF,dw,,1073845.467,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,1.152121697,PL,79,9.1,28,IBM,2011-07-01,,,,,,,,,,,,,,10.89558557
916,51.97839051,-125.0458796,58,221.1859283,917,15.94521904,12.32589531,IDF,dw,,1053340.881,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,121.9722238,PL,91,13.5,20,IBM,2007-07-01,,,,,,,,,,,,,,293.5079447
917,51.97826869,-125.0313003,58,334.5366516,968,23.25940704,5.370483875,IDF,dw,,862138.8371,GLACIOLACUSTRINE ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Medium,121.9722238,PL,104,13.6,34,IBM,2007-07-01,,,,,,,,,,,,,,174.3317316
918,51.97814501,-125.016721,58,189.090271,918,25.31797791,8.058267593,SBPS,xc,,1108022.698,GLACIOFLUVIAL ,NO SOILS DATA,,0,,0,,,0,,0,,,0,,0,2017,C50744,2017-07-07,Low,66.9538668,PL,139,13.9,15,IBM,2007-07-01,,,,,,,,,,,,,,234.5628944
919,51.96412852,-123.9527378,60,15.25511837,1211,2.850438595,10.60521507,SBPS,xc,,1024319.784,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,141,16.7,20,IBM,1985-01-01,,,,,,,,,,,,,,393.250909
920,51.96280848,-123.8798906,60,-1,1119,0,10.81977844,SBPS,xc,,1029819.183,TILL ,TYEE,SL,100,MW,20,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,80,11.3,70,,,,,,,,,,,,,,,,2708.881934
