"","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","LeadingSpecies","Dominant","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent"
"394","253","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"395","298","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"396","299","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"397","300","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"398","301","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"399","1164","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",92,0,0,8," PLI AT","PLI","PLI",92,"AT",8,NA,NA,NA,NA
"400","1203","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"401","302","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"402","303","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"403","346","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
