"","Card","SpeciesAll","total_count","total_tph","total_x0","total_x10","total_x30","total_x130","FDI_count","FDI_tph","FDI_x0","FDI_x10","FDI_x30","FDI_x130","PLI_count","PLI_tph","PLI_x0","PLI_x10","PLI_x30","PLI_x130","NonCon_count","NonCon_x0","NonCon_x10","NonCon_x30","NonCon_x130","SX_count","SX_x0","SX_x10","SX_x30","SX_x130"
"147",1139,"FDI, NonCon, PLI",375,75000,353,5,14,3,366,73200,353,5,7,1,5,1000,0,0,3,2,4,0,0,4,0,0,0,0,0,0
"148",1142,"FDI",172,34400,114,58,0,0,172,34400,114,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",1144,"FDI, PLI",55,11000,3,27,25,0,1,200,1,0,0,0,54,10800,2,27,25,0,0,0,0,0,0,0,0,0,0,0
"150",1145,"NonCon, PLI",30,6000,1,0,29,0,0,0,0,0,0,0,15,3000,1,0,14,0,15,0,0,15,0,0,0,0,0,0
"151",1148,"NonCon, PLI",46,9200,0,6,33,7,0,0,0,0,0,0,27,5400,0,6,21,0,19,0,0,12,7,0,0,0,0,0
"152",1153,"PLI",31,6200,0,0,11,20,0,0,0,0,0,0,31,6200,0,0,11,20,0,0,0,0,0,0,0,0,0,0
"153",1160,"PLI",1163,232600,1,29,1128,5,0,0,0,0,0,0,1163,232600,1,29,1128,5,0,0,0,0,0,0,0,0,0,0
"154",1180,"FDI, NonCon, PLI",167,33400,15,78,53,21,88,17600,15,73,0,0,22,4400,0,4,18,0,57,0,1,35,21,0,0,0,0,0
"155",1182,"FDI, NonCon, PLI",190,38000,23,52,113,2,22,4400,16,6,0,0,104,20800,6,40,58,0,64,1,6,55,2,0,0,0,0,0
"156",1185,"NonCon, PLI",131,26200,19,61,44,7,0,0,0,0,0,0,116,23200,18,59,37,2,15,1,2,7,5,0,0,0,0,0
"157",1186,"NonCon, PLI",48,9600,5,30,10,3,0,0,0,0,0,0,1,200,0,1,0,0,47,5,29,10,3,0,0,0,0,0
"158",1192,"PLI",1,200,0,0,0,1,0,0,0,0,0,0,1,200,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"159",1200,"PLI",206,41200,5,44,150,7,0,0,0,0,0,0,206,41200,5,44,150,7,0,0,0,0,0,0,0,0,0,0
"160",1207,"FDI, NonCon, PLI",64,12800,9,1,25,29,8,1600,7,1,0,0,3,600,2,0,0,1,53,0,0,25,28,0,0,0,0,0
"161",1209,"NonCon, PLI",69,13800,0,0,37,32,0,0,0,0,0,0,2,400,0,0,1,1,67,0,0,36,31,0,0,0,0,0
"162",1214,"FDI, NonCon, PLI",651,130200,309,305,27,10,625,125000,308,299,17,1,12,2400,1,6,4,1,14,0,0,6,8,0,0,0,0,0
"163",1219,"FDI, NonCon",2107,421400,1795,308,4,0,2103,420600,1795,308,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0
"164",1220,"FDI",32,6400,30,1,0,1,32,6400,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",1221,"FDI, NonCon, PLI",155,31000,2,22,80,51,1,200,0,1,0,0,33,6600,2,15,16,0,121,0,6,64,51,0,0,0,0,0
"166",1222,"FDI, PLI",95,19000,80,14,1,0,91,18200,77,13,1,0,4,800,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"167",1225,"FDI, PLI",58,11600,32,25,0,1,37,7400,26,11,0,0,21,4200,6,14,0,1,0,0,0,0,0,0,0,0,0,0
"168",1235,"FDI, PLI",109,21800,40,44,19,6,1,200,1,0,0,0,108,21600,39,44,19,6,0,0,0,0,0,0,0,0,0,0
"169",1247,"FDI, NonCon, PLI",176,35200,76,42,31,27,136,27200,76,42,17,1,31,6200,0,0,7,24,9,0,0,7,2,0,0,0,0,0
"170",1253,"FDI",310,62000,119,183,8,0,310,62000,119,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",1257,"FDI",302,60400,283,19,0,0,302,60400,283,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",1258,"FDI",41,8200,16,25,0,0,41,8200,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",1259,"FDI, NonCon, PLI",41,8200,6,14,16,5,13,2600,6,5,1,1,11,2200,0,9,2,0,17,0,0,13,4,0,0,0,0,0
"174",1261,"FDI",107,21400,99,2,6,0,107,21400,99,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",1264,"NonCon, PLI",780,156000,8,589,183,0,0,0,0,0,0,0,778,155600,8,588,182,0,2,0,1,1,0,0,0,0,0,0
"176",1272,"PLI",160,32000,0,3,93,64,0,0,0,0,0,0,160,32000,0,3,93,64,0,0,0,0,0,0,0,0,0,0
"177",1273,"PLI",394,78800,7,142,244,1,0,0,0,0,0,0,394,78800,7,142,244,1,0,0,0,0,0,0,0,0,0,0
"178",1276,"PLI",147,29400,7,89,51,0,0,0,0,0,0,0,147,29400,7,89,51,0,0,0,0,0,0,0,0,0,0,0
"179",1294,"FDI, NonCon, SX",196,39200,39,125,32,0,147,29400,37,108,2,0,0,0,0,0,0,0,45,1,14,30,0,4,1,3,0,0
"180",1295,"FDI",685,137000,588,97,0,0,685,137000,588,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",1297,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
